Scenario,Replication,Seed,agent_id,agent_type,name,road,condition,is_broken,broke_during_flood,total_vehicles_passed,length
2,2,456,1001135,Bridge,bridge 346,N1,A,False,False,0,1.2
2,2,456,1001136,Bridge,bridge 347,N1,A,False,False,0,2.8
2,2,456,1001137,Bridge,bridge 348,N1,A,False,False,0,2.8
2,2,456,1001138,Bridge,bridge 349,N1,A,False,False,0,1.2
2,2,456,1001139,Link,,N1,,,,1539,192.257
2,2,456,1001140,Bridge,bridge 350,N1,C,True,True,6865,1.2
2,2,456,1001141,Bridge,bridge 351,N1,C,False,False,72,34.2
2,2,456,1001142,Link,,N1,,,,0,90.29100000000001
2,2,456,1001144,Bridge,bridge 352,N1,A,True,True,6871,2.7
2,2,456,1001145,Bridge,bridge 353,N1,A,False,False,0,2.7
2,2,456,1001146,Bridge,bridge 354,N1,A,False,False,0,4.2
2,2,456,1001147,Link,,N1,,,,53,110.564
2,2,456,1001148,Bridge,bridge 355,N1,A,False,False,0,1.2
2,2,456,1001149,Bridge,bridge 356,N1,A,False,False,0,2.8
2,2,456,1001150,Bridge,bridge 357,N1,A,False,False,0,1.2
2,2,456,1001151,Bridge,bridge 358,N1,B,False,False,0,14.0
2,2,456,1001152,Link,,N1,,,,0,120.676
2,2,456,1001153,Bridge,bridge 359,N1,A,False,False,0,1.2
2,2,456,1001154,Link,,N1,,,,189,121.05
2,2,456,1001155,Bridge,bridge 360,N1,A,False,False,0,1.0
2,2,456,1001156,Bridge,bridge 361,N1,A,False,False,0,1.0
2,2,456,1001157,Bridge,bridge 362,N1,A,False,False,0,3.0
2,2,456,1001158,Bridge,bridge 363,N1,C,True,True,6878,6.1
2,2,456,1001159,Link,,N1,,,,6841,269.735
2,2,456,1001161,Bridge,bridge 364,N1,A,False,False,73,5.8
2,2,456,1001162,Bridge,bridge 365,N1,A,False,False,0,1.3
2,2,456,1001163,Link,,N1,,,,1812,648.947
2,2,456,1001164,Bridge,bridge 366,N1,A,True,True,6882,1.2
2,2,456,1001165,Bridge,bridge 367,N1,C,False,False,1411,30.9
2,2,456,1001166,Link,,N1,,,,444,624.2850000000001
2,2,456,1001171,Bridge,bridge 368,N1,C,True,True,6893,1.2
2,2,456,1001172,Bridge,bridge 369,N1,D,False,False,0,9.4
2,2,456,1001173,Bridge,bridge 370,N1,C,True,True,6921,11.8
2,2,456,1001174,Bridge,bridge 371,N1,C,False,False,0,2.8
2,2,456,1001175,Link,,N1,,,,1667,564.835
2,2,456,1001179,Bridge,bridge 372,N1,C,False,False,0,1.2
2,2,456,1001180,Bridge,bridge 373,N1,C,True,True,6947,31.7
2,2,456,1001181,Link,,N1,,,,7281,530.9250000000001
2,2,456,1001184,Bridge,bridge 374,N1,C,False,False,0,1.2
2,2,456,1001185,Bridge,bridge 375,N1,C,False,False,0,1.2
